"Customer","SUM(P_1)","SUM(P_3)","SUM(P_6)","SUM(P_9)","SUM(P_18)","SUM(P_19)","SUM(P_21)","SUM(P_31)","SUM(P_32)","SUM(P_34)","SUM(P_45)","SUM(P_46)","SUM(P_51)","SUM(P_54)","SUM(P_55)","SUM(P_57)","SUM(P_58)","SUM(P_61)","SUM(P_68)","SUM(P_69)","SUM(P_71)","SUM(P_72)","SUM(P_73)","SUM(P_77)","SUM(P_94)","SUM(P_106)","SUM(P_107)","SUM(P_111)","SUM(P_112)","SUM(P_114)","SUM(P_118)","SUM(P_120)","SUM(P_122)","SUM(P_127)","SUM(P_128)","SUM(P_133)","SUM(P_134)","SUM(P_135)","SUM(P_137)","SUM(P_145)","SUM(P_146)","SUM(P_150)","N"
3,11,35,1,25,18,6,2,0,3,0,0,0,0,4,5,0,1,0,29,1,1,0,4,1,0,0,1,0,7,13,1,2,6,1,2,2,0,3,1,2,0,0,188
4,2,21,11,12,7,3,6,2,13,3,2,2,1,5,0,2,0,1,10,10,13,0,7,13,5,0,5,10,2,0,1,2,16,0,4,1,0,13,0,0,0,0,205
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,2,0,0,0,6
7,23,47,29,33,15,3,9,5,19,18,22,14,1,14,19,4,0,0,14,18,13,3,15,10,7,0,19,12,15,11,20,3,23,2,2,12,2,20,16,2,1,2,517
8,0,3,8,2,2,1,0,0,9,0,4,2,0,4,1,0,1,1,3,2,10,0,9,4,6,0,6,0,0,0,2,0,2,6,0,4,1,1,2,0,3,0,99
9,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11
10,0,0,0,0,0,0,0,0,1,34,3,3,0,4,7,4,0,1,5,16,4,0,2,23,2,8,0,19,0,4,3,0,1,2,0,0,0,1,3,0,1,0,151
12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,4
13,0,1,5,1,1,1,0,0,2,1,4,3,0,6,6,0,0,1,1,5,2,0,10,1,3,0,2,0,0,0,1,11,16,0,0,0,0,4,1,1,0,1,91
14,1,3,1,3,2,0,0,0,0,9,3,2,0,7,2,0,0,2,4,5,2,0,1,2,1,1,1,0,1,0,1,0,0,0,0,5,0,0,1,0,9,0,69
15,0,0,1,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,2,2,0,0,12,0,0,1,0,0,0,31
16,0,6,15,6,2,2,0,0,2,52,13,8,0,5,4,4,0,0,10,5,6,1,3,32,3,3,7,6,0,5,5,1,10,1,0,3,0,9,5,0,0,0,234
19,0,1,0,1,0,0,0,0,1,0,1,1,2,1,0,1,0,0,0,0,0,1,2,2,2,0,0,0,0,0,21,2,2,0,0,0,0,0,18,0,0,0,59
21,0,0,0,0,0,0,0,0,3,0,0,0,0,2,1,4,1,11,0,1,6,0,0,0,0,1,0,0,0,0,0,0,1,5,0,4,4,1,0,0,4,0,49
22,0,1,0,1,0,0,0,0,1,3,3,0,0,0,0,0,0,0,0,0,3,0,4,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
